2025-08-26 15:05:31 - 
Experiment Configuration:
2025-08-26 15:05:31 - --------------------------------------------------
2025-08-26 15:05:31 - dataset: ds005863
2025-08-26 15:05:31 - use_combined_datasets: False
2025-08-26 15:05:31 - electrode_list: common
2025-08-26 15:05:31 - classifier: ShallowFBCSPNet
2025-08-26 15:05:31 - separate_subject_classification: True
2025-08-26 15:05:31 - use_subject_layer: False
2025-08-26 15:05:31 - seeds: [1]
2025-08-26 15:05:31 - --------------------------------------------------
2025-08-26 15:05:31 - 
==================================================
2025-08-26 15:05:31 - Processing Active Visual Oddball Dataset
2025-08-26 15:05:31 - ==================================================
2025-08-26 15:05:35 - Subject: sub-001, Accuracy: 85.714%
2025-08-26 15:06:26 - Subject: sub-044, Accuracy: 88.095%
2025-08-26 15:06:27 - Subject: sub-045, Accuracy: 92.857%
2025-08-26 15:06:29 - Subject: sub-046, Accuracy: 90.476%
2025-08-26 15:06:30 - Subject: sub-047, Accuracy: 88.095%
2025-08-26 15:06:31 - Subject: sub-048, Accuracy: 92.857%
2025-08-26 15:06:32 - Subject: sub-049, Accuracy: 92.857%
2025-08-26 15:06:34 - Subject: sub-050, Accuracy: 90.476%
2025-08-26 15:06:35 - Subject: sub-051, Accuracy: 92.857%
2025-08-26 15:06:36 - Subject: sub-052, Accuracy: 90.476%
2025-08-26 15:06:37 - Subject: sub-053, Accuracy: 92.857%
2025-08-26 15:06:38 - Subject: sub-054, Accuracy: 92.500%
2025-08-26 15:06:39 - Subject: sub-055, Accuracy: 94.737%
2025-08-26 15:06:40 - Subject: sub-056, Accuracy: 90.476%
2025-08-26 15:06:41 - Subject: sub-057, Accuracy: 92.857%
2025-08-26 15:06:42 - Subject: sub-058, Accuracy: 92.857%
2025-08-26 15:06:43 - Subject: sub-059, Accuracy: 92.857%
2025-08-26 15:06:45 - Subject: sub-060, Accuracy: 92.857%
2025-08-26 15:06:46 - Subject: sub-061, Accuracy: 92.857%
2025-08-26 15:06:46 - Subject: sub-062, Accuracy: 92.857%
2025-08-26 15:06:48 - Subject: sub-063, Accuracy: 92.857%
2025-08-26 15:06:49 - Subject: sub-064, Accuracy: 92.857%
2025-08-26 15:06:50 - Subject: sub-065, Accuracy: 92.857%
2025-08-26 15:06:51 - Subject: sub-066, Accuracy: 90.476%
2025-08-26 15:06:52 - Subject: sub-067, Accuracy: 90.476%
2025-08-26 15:06:53 - Subject: sub-068, Accuracy: 90.476%
2025-08-26 15:06:54 - Subject: sub-069, Accuracy: 90.476%
2025-08-26 15:06:56 - Subject: sub-070, Accuracy: 88.095%
2025-08-26 15:06:57 - Subject: sub-071, Accuracy: 92.857%
2025-08-26 15:06:58 - Subject: sub-073, Accuracy: 92.857%
2025-08-26 15:06:59 - Subject: sub-074, Accuracy: 90.476%
2025-08-26 15:07:00 - Subject: sub-075, Accuracy: 88.095%
2025-08-26 15:07:01 - Subject: sub-076, Accuracy: 90.476%
2025-08-26 15:07:02 - Subject: sub-077, Accuracy: 90.476%
2025-08-26 15:07:03 - Subject: sub-078, Accuracy: 90.476%
2025-08-26 15:07:04 - Subject: sub-079, Accuracy: 92.857%
2025-08-26 15:07:06 - Subject: sub-080, Accuracy: 92.857%
2025-08-26 15:07:07 - Subject: sub-081, Accuracy: 92.857%
2025-08-26 15:07:08 - Subject: sub-082, Accuracy: 92.857%
2025-08-26 15:07:09 - Subject: sub-083, Accuracy: 92.857%
2025-08-26 15:07:10 - Subject: sub-111, Accuracy: 92.857%
2025-08-26 15:07:11 - Subject: sub-112, Accuracy: 92.857%
2025-08-26 15:07:12 - Subject: sub-113, Accuracy: 92.500%
2025-08-26 15:07:13 - Subject: sub-114, Accuracy: 92.500%
2025-08-26 15:07:15 - Subject: sub-115, Accuracy: 92.500%
2025-08-26 15:07:16 - Subject: sub-116, Accuracy: 92.500%
2025-08-26 15:07:17 - Subject: sub-117, Accuracy: 87.500%
2025-08-26 15:07:18 - Subject: sub-118, Accuracy: 92.500%
2025-08-26 15:07:19 - Subject: sub-119, Accuracy: 92.500%
2025-08-26 15:07:20 - Subject: sub-120, Accuracy: 92.500%
2025-08-26 15:07:21 - Subject: sub-121, Accuracy: 87.500%
2025-08-26 15:07:22 - Subject: sub-122, Accuracy: 90.000%
2025-08-26 15:07:23 - Subject: sub-123, Accuracy: 90.000%
2025-08-26 15:07:24 - Subject: sub-124, Accuracy: 90.476%
2025-08-26 15:07:26 - Subject: sub-125, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-127, Accuracy: 87.500%
2025-08-26 15:07:27 - Subject: sub-001, Accuracy: 85.714%
2025-08-26 15:07:27 - Subject: sub-002, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-003, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-004, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-005, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-006, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-007, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-008, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-009, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-010, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-011, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-012, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-013, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-014, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-015, Accuracy: 95.238%
2025-08-26 15:07:27 - Subject: sub-016, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-017, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-018, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-019, Accuracy: 95.238%
2025-08-26 15:07:27 - Subject: sub-020, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-021, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-022, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-023, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-024, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-025, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-026, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-027, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-028, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-029, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-030, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-031, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-032, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-033, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-034, Accuracy: 85.714%
2025-08-26 15:07:27 - Subject: sub-035, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-036, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-037, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-038, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-039, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-040, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-041, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-042, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-043, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-044, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-045, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-046, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-047, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-048, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-049, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-050, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-051, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-052, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-053, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-054, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-055, Accuracy: 94.737%
2025-08-26 15:07:27 - Subject: sub-056, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-057, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-058, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-059, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-060, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-061, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-062, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-063, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-064, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-065, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-066, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-067, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-068, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-069, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-070, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-071, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-073, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-074, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-075, Accuracy: 88.095%
2025-08-26 15:07:27 - Subject: sub-076, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-077, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-078, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-079, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-080, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-081, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-082, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-083, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-111, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-112, Accuracy: 92.857%
2025-08-26 15:07:27 - Subject: sub-113, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-114, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-115, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-116, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-117, Accuracy: 87.500%
2025-08-26 15:07:27 - Subject: sub-118, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-119, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-120, Accuracy: 92.500%
2025-08-26 15:07:27 - Subject: sub-121, Accuracy: 87.500%
2025-08-26 15:07:27 - Subject: sub-122, Accuracy: 90.000%
2025-08-26 15:07:27 - Subject: sub-123, Accuracy: 90.000%
2025-08-26 15:07:27 - Subject: sub-124, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-125, Accuracy: 90.476%
2025-08-26 15:07:27 - Subject: sub-127, Accuracy: 87.500%
2025-08-26 15:07:27 - 
AVO Individual Models Statistics:
2025-08-26 15:07:27 - Mean Accuracy: 0.916
2025-08-26 15:07:27 - 95% Confidence Interval: [0.912, 0.919]
2025-08-26 15:07:27 - Best Subject: sub-015 (0.952)
2025-08-26 15:07:27 - Worst Subject: sub-001 (0.857)
